quarter,y,g,newsy,unemp,hpunemp_split,tbill
2002.25,1.017261,.1935574,0,5.80,6.0362442,1.72
2002.50,1.015717,.1939674,.0086518,5.70,6.0432244,1.64
2002.75,1.00995,.1949265,0,5.90,6.0508016,1.33
2003.00,1.008831,.1956547,.0112603,5.90,6.0589652,1.16
2003.25,1.011853,.1972778,0,6.10,6.0677047,1.04
2003.50,1.022456,.1962384,.0036485,6.10,6.0770092,0.93
2003.75,1.02807,.196387,.0068778,5.80,6.0868679,0.92
2004.00,1.027701,.1974321,0,5.70,6.09727,0.92
2004.25,1.029001,.1979714,.0021431,5.60,6.1082045,1.08
2004.50,1.032152,.198773,0,5.40,6.11966,1.49
2004.75,1.034915,.1978188,0,5.40,6.1316245,2.01
2005.00,1.039806,.1981799,.0082383,5.30,6.1440853,2.54
2005.25,1.039161,.1978105,0,5.10,6.157029,2.86
2005.50,1.041867,.1989456,0,5.00,6.1704413,3.36
2005.75,1.041833,.197854,0,5.00,6.1843071,3.83
2006.00,1.048404,.199113,0,4.70,6.1986097,4.39
2006.25,1.04567,.1993384,.0174902,4.60,6.2133315,4.70
2006.50,1.040812,.1987104,0,4.60,6.2284533,4.91
2006.75,1.043233,.1995479,0,4.40,6.2439545,4.90
2007.00,1.038238,.1995468,0,4.50,6.2598125,4.98
2007.25,1.040595,.2007621,0,4.50,6.2760031,4.74
2007.50,1.042079,.2020048,0,4.70,6.2925003,4.30
2007.75,1.040349,.2029851,.0528776,4.80,6.3092764,3.39
2008.00,1.027935,.2048926,0,5.00,6.3263019,2.04
2008.25,1.027794,.2070017,0,5.30,6.343546,1.63
2008.50,1.01775,.2095372,0,6.00,6.3609765,1.49
2008.75,.9913386,.2077854,-.0167032,6.90,6.37856,0.30
2009.00,.9728522,.2052985,0,8.30,6.3962631,0.21
2009.25,.9668946,.208104,0,9.30,6.4140525,0.17
2009.50,.9654878,.2089153,0,9.60,6.4318972,0.16
2009.75,.9703145,.2079653,0,9.90,6.4497687,0.06
2010.00,.9700719,.2071961,0,9.80,6.467642,0.11
2010.25,.9750709,.2083594,0,9.60,6.4854954,0.15
2010.50,.9773412,.2073573,0,9.50,6.5033106,0.16
2010.75,.9792611,.2047361,-.0063479,9.50,6.5210722,0.14
2011.00,.9713591,.2010376,0,9.00,6.538768,0.13
2011.25,.9743801,.2006485,0,9.10,6.5563888,0.05
2011.50,.9724761,.1982,-.0245154,9.00,6.5739278,0.02
2011.75,.9795321,.1961136,-.0030321,8.60,6.5913807,0.01
2012.00,.9822096,.1950167,0,8.30,6.6087457,0.07
2012.25,.9830772,.1926669,0,8.20,6.6260229,0.09
2012.50,.9806275,.190929,0,8.00,6.6432143,0.10
2012.75,.9773313,.1885116,0,7.80,6.6603232,0.09
2013.00,.9785435,.1856887,-.0291748,7.70,6.6773545,0.09
2013.25,.977938,.1841107,0,7.50,6.6943141,0.05
2013.50,.9819136,.182601,0,7.30,6.711209,0.03
2013.75,.9880115,.1814966,0,6.90,6.7280469,0.06
2014.00,.9826847,.1806512,0,6.70,6.7448361,0.05
2014.25,.9907711,.1805018,0,6.20,6.7615853,0.03
2014.50,.9983337,.1810349,0,6.10,6.7783029,0.03
2014.75,1.000716,.1796543,0,5.70,6.7949967,0.02
2015.00,.9996824,.1783926,0,5.60,6.8116742,0.03
2015.25,1.006797,.1786793,0,5.40,6.8283413,0.02
2015.50,1.009333,.1788952,0,5.20,6.845003,0.04
2015.75,1.010507,.1782332,0,5.00,6.8616629,0.12
