quarter,y,g,newsy,unemp,hpunemp_split,tbill
1917.50,.9631817,.1233066,0,5.05,5.4550411,
1917.75,.970025,.1234684,.0669475,3.69,5.4434562,
1918.00,.9838803,.2103277,0,1.98,5.4315753,
1918.25,1.044097,.2713285,.2750224,0.79,5.4194106,
1918.50,1.064076,.2982896,-.0759446,0.65,5.4069708,
1918.75,1.030112,.3287939,-.1615899,1.54,5.3942602,
1919.00,.9862093,.249166,0,2.33,5.381278,
1919.25,.997114,.1459403,0,2.01,5.3680199,
1919.50,1.013845,.1048656,0,2.43,5.3544783,
1919.75,1.018211,.0696861,0,2.59,5.3406424,
1920.00,1.00939,.0677548,0,3.30,5.3264984,4.58
1920.25,.9623421,.0716496,0,4.24,5.3120297,5.50
1920.50,.9531977,.0724766,0,5.55,5.2972177,5.82
1920.75,.9110018,.0800908,0,7.56,5.282043,5.79
1921.00,.8818511,.0984677,0,10.03,5.2664859,5.45
1921.25,.9045538,.0932957,0,11.80,5.2505295,5.12
1921.50,.9180174,.0735606,0,11.97,5.2341614,4.70
1921.75,.9207466,.081281,-.0091431,11.52,5.2173757,4.05
1922.00,.9094119,.0788729,0,10.57,5.2001735,3.75
1922.25,.9217749,.0766685,0,9.34,5.182562,3.24
1922.50,.9305919,.0828876,0,7.95,5.1645537,3.22
1922.75,.9598798,.1026319,0,6.38,5.1461655,3.67
1923.00,1.004907,.0894595,0,4.76,5.1274169,3.81
1923.25,1.035705,.0792933,0,3.99,5.1083287,3.97
1923.50,1.021238,.0772924,0,4.18,5.0889214,3.93
1923.75,1.022973,.0878812,0,4.35,5.0692141,4.01
1924.00,1.048788,.0771995,0,5.02,5.0492253,3.62
1924.25,1.007653,.0904652,0,5.62,5.0289728,2.70
1924.50,.9834121,.0919171,0,5.34,5.008474,1.99
1924.75,1.013381,.0906015,0,5.18,4.9877474,2.52
1925.00,1.010054,.0951667,0,5.16,4.9668113,2.67
1925.25,1.001126,.0869759,0,4.96,4.9456847,2.79
1925.50,1.011451,.0910129,0,4.58,4.9243864,3.08
1925.75,1.023301,.0876597,0,4.03,4.9029355,3.56
1926.00,1.029696,.0853963,0,3.36,4.8813504,3.27
1926.25,1.028731,.0906203,0,2.82,4.8596491,3.06
1926.50,1.047735,.0831097,0,2.46,4.8378477,3.27
1926.75,1.047417,.0899964,0,2.96,4.8159604,3.33
1927.00,1.036239,.0942793,0,3.32,4.793999,3.24
1927.25,1.034553,.0895194,0,3.59,4.7719735,3.26
1927.50,1.010046,.094979,0,4.12,4.7498924,2.78
1927.75,.9820881,.0914821,0,4.57,4.7277629,3.10
1928.00,.9803591,.0959888,.0026209,4.82,4.7055917,3.30
1928.25,.9834836,.0918978,0,5.20,4.6833854,3.81
1928.50,.9972326,.0931309,0,4.93,4.6611505,4.35
1928.75,.9989516,.0948649,0,4.01,4.6388943,4.41
1929.00,1.010844,.0956239,0,2.65,4.616624,4.55
1929.25,1.044566,.0917212,0,1.98,4.5943466,4.90
1929.50,1.044135,.0916156,0,2.55,4.5720668,4.61
1929.75,.9890558,.0963979,0,4.37,4.5497868,3.62
1930.00,.9482216,.099736,0,6.38,4.5425345,3.23
1930.25,.9379891,.1007888,0,6.84,4.5352822,2.43
1930.50,.8876329,.09853,0,9.45,4.5280298,1.71
1930.75,.8422927,.1050228,0,13.10,4.5207775,1.54
1931.00,.8399301,.1202134,0,13.56,4.5135252,1.21
1931.25,.850248,.099233,0,13.98,4.5062729,0.99
1931.50,.8125538,.1166969,0,16.12,4.4990206,0.77
1931.75,.7666225,.093983,0,18.95,4.4917682,2.65
1932.00,.7348052,.0953671,0,19.70,4.4845159,2.47
1932.25,.6944177,.1183231,0,22.91,4.4772636,0.53
1932.50,.6653869,.1044239,0,24.81,4.4700113,0.36
1932.75,.6561398,.0977687,0,24.14,4.462759,0.15
1933.00,.6126997,.103196,0,22.76,4.4555067,0.99
1933.25,.6528927,.1055778,0,23.44,4.4482543,0.42
1933.50,.7024028,.0810954,0,20.98,4.441002,0.23
1933.75,.6526363,.1181519,0,20.59,4.4337497,0.42
1934.00,.690005,.1270833,.0095925,18.69,4.4264974,0.53
1934.25,.7287604,.1086018,0,19.03,4.4192451,0.15
1934.50,.6947839,.1015546,0,22.63,4.4119927,0.18
1934.75,.6896133,.1120462,0,23.51,4.4047404,0.25
1935.00,.7261009,.095895,0,19.52,4.3974881,0.18
1935.25,.7208707,.1069847,0,19.35,4.3902358,0.15
1935.50,.7329495,.1257253,0,19.44,4.3829835,0.17
1935.75,.7653145,.1153053,0,18.59,4.3757311,0.17
1936.00,.7606015,.1179745,0,17.11,4.3684788,0.20
1936.25,.79986,.1299866,0,17.49,4.3612265,0.20
1936.50,.8145823,.1278293,0,16.29,4.3539742,0.17
1936.75,.8336588,.1308078,0,15.86,4.3467219,0.12
1937.00,.8234991,.1294021,0,14.34,4.3394696,0.23
1937.25,.8377234,.1149916,0,13.62,4.3322172,0.44
